##ENCODING: csv
##X-Sampling: StartIndex,StepSize,NumberOfSteps
#26,4,15
##Y-Sampling: StartIndex,StepSize,NumberOfSteps
#13,4,15
##xindex,yindex,xcoord/m,ycoord/m,current/A
4,24,8.0E-6,4.8E-5,9.251989179192905E-10
4,25,8.0E-6,4.9999999999999996E-5,9.25257782874348E-10
4,26,8.0E-6,5.2E-5,9.253810668211358E-10
4,27,8.0E-6,5.4E-5,9.254076680621501E-10
4,28,8.0E-6,5.6E-5,9.255597091434363E-10
4,29,8.0E-6,5.8E-5,9.256197029277698E-10
4,30,8.0E-6,5.9999999999999995E-5,9.257065819937197E-10
4,31,8.0E-6,6.2E-5,9.257543130922495E-10
4,32,8.0E-6,6.4E-5,9.258559327087477E-10
4,33,8.0E-6,6.599999999999999E-5,9.259504874361216E-10
4,34,8.0E-6,6.8E-5,9.260532702002023E-10
4,35,8.0E-6,7.0E-5,9.26061203557242E-10
4,36,8.0E-6,7.2E-5,9.261874687252628E-10
4,37,8.0E-6,7.4E-5,9.261836530535613E-10
4,38,8.0E-6,7.599999999999999E-5,9.261699833712529E-10
4,39,8.0E-6,7.8E-5,9.263360634965385E-10
4,40,8.0E-6,7.999999999999999E-5,9.26278754760537E-10
4,41,8.0E-6,8.2E-5,9.263917308306594E-10
4,42,8.0E-6,8.4E-5,9.263712165590436E-10
